sentence1,sentence2,similarity_score
A woman is cutting an onion.,A horse is standing.,0.0
Tokyo stocks close up 0.13pc,Tokyo stocks close 0.75pc down,1.7999999523162842
a woman at a dinner table writing on her notebook.,Woman at table busy with something.,3.400000095367432
north korean officials are suspected of building nuclear weapons.,north korea is currently in the process of dismantling its nuclear weapons program.,2.0
A group of girls are exiting a taxi.,A video clip of Rihanna leaving a taxi.,2.0
Chinese stocks open lower Wednesday,China stocks open lower Friday,2.400000095367432
Two cows standing in a large field.,Horse standing in a field.,1.600000023841858
"Gaza militants fire 40 rockets into Israel, 3 hurt: police",Gazans fire four rockets into Israel; no injuries,2.75
I think you've pretty much done your review.,You've pretty much answered your own question.,2.0
A man is buttering a piece of bread.,A slow loris hanging on a cord.,0.0
A woman is frying ground meat.,A man is cutting a trunk with an axe.,0.5
"The Nasdaq fell about 1.3% for the month, snapping a seven-month winning streak.","The Nasdaq is down roughly 0.4 percent for the month, on track to snap a 7-month streak of gains.",2.400000095367432
A man is stirring juice.,A man is peeling an onion.,0.75
A black and white dog runs through the water.,Black and brown dog runs through field.,2.0
Someone is cleaning a animal.,A woman is cleaning a shrimp.,2.799999952316284
Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.,"Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week.",3.400000095367432
Two white cows in a green pasture.,The tan horse is in the pasture.,1.399999976158142
"American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",3.0
"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.","When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines.",4.800000190734863
"A man eating an apple, sitting in public.",A man sits in a public place eating an apple.,5.0
Assad warns Turkey of 'heavy price' for backing Syrian rebels,Cabinet at war over arming Syrian rebels,1.0
Two dogs swim in a pool.,Dogs are swimming in a pool.,4.199999809265137
Clinton ready to fight for Obama,Clinton a tough act for Obama to follow,1.0
A black and white dog is swimming in a large green lake.,A black dog runs fast into shallow water.,2.200000047683716
Two dogs running on the shore.,A white dog running on the beach.,2.400000095367432
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,2.400000095367432
Olympics Opening Ceremony A Hit Around Globe,Opening ceremony gives Olympics a rocking start,4.199999809265137
Senior CPC official meets top DPRK leader's special envoy,North Korean leader sends 'special envoy' to China,3.0
Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,"Only 29 families of frogs are known, most of which were named by the mid-1800s.",3.799999952316284
George Zimmerman found not guilty of Trayvon Martin murder,George Zimmerman Verdict Propels Cable News Into Talkradio Mode,1.0
"""My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.""","My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press.""",3.400000095367432
A person wearing a helmet rides a bike near a white structure.,A person wearing a bike helmet rides a bike on a path through trees.,3.200000047683716
"In the United States, 20.7 percent of all women smoke.","Nevada is where the most women smoke, 28 percent.",1.3329999446868896
Chinese News Agency Slams Delays in Search for Jet,Ten Chinese vessels on standby for jet search,3.200000047683716
A man and a woman are riding on their bicycles.,A man and woman are riding a motorcycle.,2.0
Egypt arrests Muslim Brotherhood Supreme Guide,Egypt bans Muslim Brotherhood group,2.200000047683716
"Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women, aged 16 and 18.","Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens, 16 and 18 years.",3.200000047683716
Boy Scouts delay decision on admitting gays,Boy Scouts of America delays vote on lifting ban on gays,5.0
"No, there is no specific criteria for giving the man of the match award.","As per the rules, MoM award is decide by the commentry pannel.",3.0
Iraqi Bomb Attacks Kill At Least 13,Iraqi Car Bomb Near Church Kills At Least 14,3.0
A cat is playing keyboards.,A cat is playing a piano.,3.0
Russian Federal Law is actually quite specific on this one and not as arbitrary as argued.,"The last round of presidential elections in Russia was held on March 4th, 2012 and December 4th, 2011 for the Duma.",0.6000000238418579
A boy is playing guitar.,A man is playing a guitar.,3.200000047683716
The woman is slicing herbs.,The man is slicing bread.,1.600000023841858
"A black and white photo of a living room with a large window, sofa, and chair.",A black and white scene of a well furnished room with a view outlooking a forest.,3.0
A man is speaking.,A man is dancing.,1.2000000476837158
"Two of the Britons, Sandy Mitchell from Glasgow and Glasgow-born William Sampson, face the death penalty.","Sandy Mitchell, 44, from Kirkintilloch, Glasgow, and William Sampson, a British citizen born in Glasgow, face beheading in public.",3.25
I think the dual goals have a lot to do with the purpose of the antagonist.,I think it's going to depend on what the reasons are.,2.5999999046325684
A man plays the flute.,A man is playing a flute.,5.0
santos stated colombian police found the evidence in 2 computers discovered with slain rebel leader raul reyes.,francisco santos stated that colombian police found the evidence on two computers discovered with raul reyes.,4.0
A black and white dog is running through the grass.,The black and white dog is running on the grass.,4.800000190734863
"""He really left us with a smile on his face and no last words,"" daughter Linda Hope said.","""He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it,"" she said.",3.25
Cannes thief 'steals $53m of jewels' in armed heist at hotel,"Robber steals $53 million worth of jewels in Cannes, police say",3.799999952316284
There's not a lot you can do about that.,I'm afraid there's not really a lot you can do.,5.0
Obama to meet privately with family of Nelson Mandela,Obama to meet with Mandela family,4.599999904632568
A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,3.200000047683716
"The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.","On Wall Street, the Dow Jones Industrial Average rose 0.5 per cent at 9,905.8 and the Nasdaq Composite added 0.7 per cent at 1,995.1.",1.7999999523162842
Democracy is a threat to liberty.,Democracy has nothing to do with liberty.,1.7999999523162842
China says defense budget to rise 11.2% in 2012,China's defence spending to rise 11.2%,4.0
"First, double-check the dog's body language to make sure that it is truly aggressive.","First, you should realize that this is not you or your dog's problem.",1.600000023841858
A woman is cutting an onion.,A man is chopping an onion.,2.0
A rugby player in dark gear is carrying a light colored rugby ball with arm outstretched.,A brown dog splashes in the water while carrying a ball in it's mouth.,0.4000000059604645
Two robots share a kiss.,A male and female robot are kissing.,3.799999952316284
"""This has been a persistent problem that has not been solved,"" investigation board member Steven Wallace said.","""This was a persistent problem which has not been solved, mechanically and physically,"" said board member Steven Wallace.",4.0
That's what the data available shows.,That's what the historical record shows.,3.5999999046325684
Women are talking.,The men are talking.,2.5999999046325684
additional individuals and entities are subject to an assets freeze.,the resolution includes a broadened list of individuals and entities subject to an assets freeze.,3.799999952316284
Franklin County Judge-Executive Teresa Barton said a firefighter was struck by lightning and was taken to the Frankfort Regional Medical Center.,"A county firefighter, was struck by lightning and was in stable condition at Frankfort Regional Medical Center.",3.200000047683716
Asian markets hit 3-wk high on hopes of US debt deal,Asian stocks hit three-week highs on hopes of U.S. debt deal,4.800000190734863
US Supreme Court limits president's recess appointments power,High court checks President's recess appointment power,5.0
A man is rinsing a steak.,A man is playing a guitar.,0.6000000238418579
"They came despite what BA called a ""difficult quarter"", which it said included unofficial industrial action at Heathrow.","BA said the second quarter, which included unofficial industrial action at Heathrow, had been difficult.",3.5999999046325684
Two dogs approach each other in the grass.,Two dogs face off of each other on the grass.,4.800000190734863
More than 30 striking miners killed,More than 30 striking miners killed in South Africa,3.799999952316284
The yard has a dog.,The dog is running after another dog.,1.600000023841858
Yeager said the suspect in the Target attack showed tendencies of being a prior offender.,"Yeager said the incident appeared to be isolated, but the suspect showed tendencies of being a prior offender.",3.71399998664856
the cfe is very important for european security.,the cfe is a cornerstone of european security.,5.0
"On Tuesday, the central bank left interest rates steady, as expected, but also declared that overall risks were weighted toward weakness and warned of deflation risks.","The central bank's policy board left rates steady for now, as widely expected, but surprised the market by declaring that overall risks were weighted toward weakness.",4.0
The black and brown cow is looking at the camera.,The black and white bull is looking at the camera.,3.5999999046325684
A black dog retrieves in the snow.,A skateboarder jumping in the street.,0.0
New coronavirus can probably can be passed person to person- WHO,WHO: New virus can probably pass person to person,3.799999952316284
"Three individuals are posing on skis behind a ""no skiing"" sign.",Three people on skis are standing behind a no skiing sign.,4.400000095367432
A small boy playing in the snow.,The brown and white dog is playing in the snow.,1.600000023841858
"If you haven't made any claims, then just say so.",I haven't made any claims.,2.400000095367432
Israeli forces arrest 6 Palestinians in overnight West Bank raids,Israel classifies Jerusalem natives as noncitizens,1.0
It is not recommended to use greywater on vegetables that you will eat directly.,Adding soap to water allows the water to dissolve oils.,0.6000000238418579
Florida The ignorance is yours!,The ignorance is yours!,3.400000095367432
A young child is riding a horse.,A child is riding a horse.,4.75
She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.,3.4549999237060547
Unit volumes also set a record as notebooks accounted for more than 40 percent of sales.,"In May 2002, LCDs accounted for only 22 percent of monitor sales.",1.2000000476837158
A dog shaking off water.,A dog shaking water off.,5.0
"""This deal makes sense for both companies,"" Halla said in a prepared statement.","Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies.",3.200000047683716
Romney picks Ryan as vice presidential running mate: source,Romney to tap Ryan as vice presidential running mate,5.0
"You can use it, too.","You can do it, too.",3.0
"That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.",His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.,4.0
"Analysts had been expecting a net loss of 54 cents a share, according to Thomson First Call.","Analysts had forecast second quarter sales of $614 million, according to the Thomson First Call Web site.",1.5
Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0.800000011920929
Protesters clash with police in Caracas,Protesters Clash with Police in Brazil,3.799999952316284
A woman is peeling a potato.,A lion is walking around.,0.0
A cat is walking around a house.,A woman is peeling potato.,0.0
egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction.,syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility.,4.0
Singapore stocks end up 0.26 percent,Singapore stocks end up 0.11 pct,2.0
Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,4.0
There are no post-emergents that specifically kill crabgrass without killing lawn grass.,I brought an Ace product that kla crab grass and you can use it below 90 degrees.,1.7999999523162842
A little girl in a red shirt pulls a kite.,A girl in a red shirt takes a picture on a phone.,1.399999976158142
"Bangladesh collapse search over; death toll 1,127",Bangladesh collapse deaths top 620,3.200000047683716
A man is playing a guitar.,A man is playing a trumpet.,1.7139999866485596
[Ticker] Fitch upgrades Greek credit rating,Moody's upgrades Greek credit rating,3.400000095367432
"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.,4.599999904632568
Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,2.75
"If it wasn't a life, then it would not be able to be born.","If it wasn't alive, then it would miscarriage on it's own.",3.0
A man is playing a violin.,The baby is laughing and crawling.,0.0
Mandela remains in hospital,Mandela remains in 'intensive care',3.5999999046325684
russia is fulfilling obligations and decreasing forces.,russia's suspension of obligations under the cfe treaty is temporary.,2.0
There are a few things to help your bun gain a bit of weight.,John Cavan has some reasonable and appropriate methods for increasing a rabbits weight in his answer.,3.0
Indian stocks open flat,Indian stocks open lower,3.5999999046325684
"Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada.","Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday.",3.0
A person is out in the water at the beach while the sun sets.,A person above their surfboard on the water.,3.0
China stocks end lower Thursday,China stocks close lower on Thursday,5.0
The family owns Cheetahs strip clubs here and in Las Vegas.,The searches were conducted simultaneously with raids on strip clubs in San Diego and Las Vegas.,1.5
Australian PM Kevin Rudd calls election for 7 September,Australian PM Rudd calls Sept. 7 poll,4.599999904632568
Train going down the tracks.,Train gliding on tracks.,4.599999904632568
A kid plays with a toy phone.,A little boy plays with a toy phone.,3.5
A man is assembling speaker parts.,A man is playing the guitar.,1.0
"In the United States, jails are operated by cities and counties (or equivalent).","Jail is a municipal level, prison is on a state/federal/provincial/territory level.",3.5999999046325684
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,1.2000000476837158
A man is tying his shoe.,A man ties his shoe.,5.0
China to resume US investment talks,China and Taiwan hold historic talks,0.800000011920929
Hi Pro and Corn: How many threads do you plan on making?,How many threads do you plan on making?,4.0
A man is playing the piano.,A woman is playing a guitar.,1.2000000476837158
Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.,"His first Father's Day as a dad, his first major as a champion.",3.0
A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,4.199999809265137
Some women are also concerned that so many women are turning to cosmetic surgery in a quest for bodily perfection.,Some women also express concern about a society in which more people than ever are turning to cosmetic surgery in a quest for bodily perfection.,4.75
Some smiling children are standing in front of an ocean sunset.,People walking in the dark.,0.6000000238418579
A girl in a riding hat on a horse.,A girl riding a brown horse.,2.5999999046325684
elbaradei is the international atomic energy agency chief.,mohammed elbarade is the international atomic energy agency's director general.,4.800000190734863
"Nylon dries fast, is resistant to ripping and tearing, and fairly breathable.","Nylon, among other synthetics, is an ideal material for clothing for most outdoor pursuits for several reasons.",2.799999952316284
New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,4.400000095367432
A man is playing the guitar and singing.,A man is opening a package containing headphones.,0.800000011920929
"And when asked if he felt regret or guilt about the attack his answer was an adamant ""no"".","Asked if he felt any regret about theOctober 12 attack, the answer was an adamant ""no"".",3.799999952316284
A helicopter is getting ready to take off.,The plane is getting ready to take off.,2.799999952316284
The two men did a funny skit with a boxer in front of a crowd of people.,Boys are dancing in front of people.,1.5
Its keywords are supported by Chinese language Web portals.,"Chinese language Web portals also support 3721 keywords, the Web site said.",3.200000047683716
China stocks close mixed Friday,China stocks open lower Friday,1.600000023841858
Rev's Early Reads: March 2,"Rev.'s Early Reads: Sept. 3rd, 2015",2.0
Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.,Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.,1.8459999561309812
DICKSHOT Matt Holliday owns.,"Matt Holliday owns, y'all.",3.799999952316284
A computer on a desk.,A computer operating on a desk.,4.0
Strong new quake hits shattered Pak region,6.8 quake in shattered Pakistan region,4.400000095367432
There is no war in the Middle east.,"There is no ""WAR"" in the middle east.",4.599999904632568
Residents near Gaza instructed to stay near shelter,Best’s great day brings West Indies cheer,0.0
"The broader Standard & Poor's 500 Index .SPX advanced 2 points, or 0.24 percent, to 977.","The Nasdaq Composite Index .IXIC was off 6.52 points, or 0.39 percent, at 1,645.66.",0.800000011920929
Table with blue table cloth in kitchen.,Wooden cabinets in kitchen.,1.600000023841858
An elderly woman catches a ride on the back of the bicycle.,The boats are on the water located in front of the mountain.,0.0
"Driver backs into stroller with child, drives off","Driver backs into mom, stroller with child then drives off",4.0
Nearly all countries grew quickly in the 1950s and 1960s for pretty much the same reasons.,The USSR growth rate during the 50's was not exceptionally high.,1.0
Men are fighting after a basketball game.,The men are playing a game of basketball.,2.200000047683716
Parked white double decker bus.,A red and white double decker bus is parked.,4.199999809265137
A white leather couch with a purse and throw blanket on it.,A television with a show on.,0.0
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",3.400000095367432
A man at a farmers market.,A man is at a farmers market.,4.800000190734863
A woman is peeling an onion.,The woman is slicing green onions.,3.25
"One child pulls another, sitting in a red wagon, along the sand.",A young boy pulls another boy wearing a silly hat in a radio flyer wagon.,3.400000095367432
How long after the obliteration should the kid return to school?,How long after the obliteration should it no longer bother the kid?,3.0
A woman is seasoning a piece of meat.,A man is loading a rifle with bullets.,0.0
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,0.800000011920929
Romney wins Maine Republican caucuses,"Romney, in comeback, has narrow Maine caucus win",3.799999952316284
"""I don't know if the person I'm talking to now may end up being someone else at another time that may not follow the rules,"" Parrish said.","""I don't know whether the person I'm talking to now may end up being someone else,"" Parrish said.",3.400000095367432
"Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.","Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.",3.400000095367432
Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.,1.600000023841858
The man is walking.,A man is talking.,1.399999976158142
"When fully operational, the facility is expected to employ up to 1,000 people.","The plant would employ 1,000 people when fully built out, the company said.",4.0
The person is wearing a fedora.,A man is wearing a uniform.,1.600000023841858
russia said the system is a clear threat to russian security.,it is a serious threat to international security.,1.7999999523162842
Morsi supporters clash with riot police in Cairo,Protesters clash with riot police in Kiev,0.800000011920929
"""Our strong preference is to achieve a financial restructuring out of court, and we remain hopeful we can do so,"" chief executive Marce Fuller said.","""Our strong preference is to achieve a financial restructuring out of court,"" Mirant CEO Marce Fuller said in a prepared statement early Friday.",4.0
"At 5 p.m. EDT, Grace's center was near latitude 25.6 north, longitude 93.7 west or about 280 miles east-southeast of Corpus Christi.","At 11 a.m. EDT, Fabian's center was near latitude 18.1 north and longitude 53.2 west, or about 550 miles east of the Leewards.",1.25
Hot-Air Balloon Catches Fire in Virginia,Hot Air Balloon 'Catches Fire And Crashes',2.799999952316284
Declining issues outnumbered advancers nearly 2 to 1 on the New York Stock Exchange.,Advancers outnumbered decliners by nearly 8 to 3 on the NYSE and more than 11 to 5 on Nasdaq.,1.7999999523162842
Two sheep stand in a doorway.,Two rams stand on snowy ground.,1.399999976158142
Barack Obama's bodyguards sent back to US after prostitution scandal,Barclays boss falls to rate fixing scandal,0.4000000059604645
Dozens feared trapped in India building collapse,Rescuers race to find 20 still trapped in India building collapse,3.0
Russian warplanes strike inside Syria,Russian roulette in Syria,2.0
US Hands Over Bagram Prison to Afghan Authorities,U.S. transfers Bagram prison to Afghan control,4.800000190734863
"The vulnerability affects Windows NT 4.0, NT 4.0 Terminal Services Edition, XP and 2000, as well as Windows Server 2003.","Microsoft issued a patch for the vulnerability, which affects Windows NT 4.0, Windows NT 4.0 Terminal Services Edition, Windows 2000, Windows XP and Windows Server 2003.",2.75
Libyans begin handing in weapons,Libyans transfer weapons to army,3.200000047683716
Three boys are dancing.,Kids are dancing.,3.111000061035156
The part of economics that is most like physics is called microeconomics.,Side note first: I don't think that physicists always agree on their theories and predictions.,0.6000000238418579
"Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.","Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.",4.0
"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.",Shares of Mandalay closed down 8 cents at $29.42 Thursday.,4.0
The two men are wearing jeans.,The two men are wearing pants.,4.400000095367432
A group of four children dancing in a backyard.,A group of children do stretches on colored mats.,1.600000023841858
Five cows are grazing beside the road.,Several sheep grazing in the field.,1.0
Red double decker bus driving through the streets.,Double decker passenger bus driving with traffic.,4.0
A man is throwing knives at a tree.,A man is showing magic.,1.75
The man erased what the other man had on the board.,The man erased the work on the board.,3.0
I think you need to reread what I wrote.,You need to reread what I wrote.,5.0
A man jumping rope,A man is talking.,0.4000000059604645
A man on a motorcycle performing a wheelie.,Motorcyclist performing a wheelie next to a car.,4.0
Zen Report: Ain't easy being high maintenance,Russian meteorite leaves building gaping open,0.0
Remarks by the President at the White House Science Fair,The Presidential Planner - The White House Science Fair,2.799999952316284
"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.",3.5999999046325684
The audiotape aired last week by the Arab Al-Jazeera television network appears to be an effort to incite attacks.,An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.,1.7999999523162842
the united states dismissed the action as nuclear blackmail.,the united states said it would stand up to nuclear blackmail and has ruled out negotiations.,2.200000047683716
Russia gives initial OK to American adoption ban,Russia gives initial approval to adoption ban,3.799999952316284
Death toll rises to 236 after Brazzaville blasts,Rep. of Congo: 236 Dead After Arms Depot Blasts,3.5999999046325684
"Microsoft says to cut up to 18,000 jobs","Microsoft to cut 18,000 jobs in overhaul",5.0
A young girl holds up a peace sign.,A little girl holds onto a pole on a city street.,0.6000000238418579
Google releases Nexus 5 phone with Kit Kat,Google redesigns search results on PCs,1.0
Microwave would be your best bet.,Your best bet is research.,0.0
i don't want a president who 'cares'.,don't want a president that is compassionate.,4.599999904632568
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,0.0
A man is riding a bicycle.,A man is riding a bicycle around a parking lot.,3.25
Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29.",1.399999976158142
"Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus.","ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus.",4.75
The new study does not support your claim.,The physical evidence does not support your claim.,2.200000047683716
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,5.0
Asian markets mixed on China trade data,Asian markets slump on central bank stimulus fears,1.399999976158142
"Instead, tickets for the Jersey jam went on sale last night through Ticketmaster.","Tickets, available through Ticketmaster, went on sale yesterday.",3.799999952316284
"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries.",3.5999999046325684
Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews.com contributed to this report.,Staff writers Brandon Formby and Colleen McCain Nelson contributed to this report.,2.799999952316284
"The ideology was built around violent expansion, so yes - VIOLENT expansion.",The ideology was built around violent expansion and race superiority.,4.0
"While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about three for the Aguirres, with several weeks between each.","Instead of one long operation to separate the twins, Goodrich and Dr. David Staffenberg plan about three, with several weeks between each.",3.5999999046325684
A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.,A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night.,4.0
A passenger jet sits on a runway.,A large passenger jet flying close to the ground.,1.7999999523162842
You will want to clean the area first.,You will also want to remove the seeds.,0.0
A man is cutting up a potato.,A man is cutting up carrots.,2.375
A tan puppy being petted.,A tan puppy being held and petted.,4.400000095367432
Oklahoma examines what went wrong in botched execution,Okla. inmate dies of heart attack after botched execution,3.0
The four women are practicing for a upcoming match.,The women are in a play,1.2000000476837158
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,2.799999952316284
A woman is exercising.,A man is dancing.,0.25
A boy is riding a horse.,A monkey is riding a bus.,0.4000000059604645
"Women who eat potatoes and other tuberous vegetables during pregnancy may be at risk of triggering type 1 diabetes in their children, Melbourne researchers believe.",Australian researchers believe they have found a trigger of type 1 diabetes in children - their mothers eating potatoes and other tuberous vegetables during pregnancy.,4.25
A woman cuts up a vegetable.,A woman is slicing egg plant.,2.25
Cubs outfielder Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat.,"Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat, and he immediately appealed the decision.",3.200000047683716
A man is rapidly chopping some mushrooms using a knife.,A person is quickly chopping mushrooms with a knife.,3.75
"Super Typhoon Haiyan, Strongest of Season, Slams the Philippines",Super typhoon Haiyan closes in on the Philippines,3.400000095367432
"Gunmen kill one soldier, injure two others in Pakistan",Gunmen kill 6 polio workers in Pakistan,2.0
Two dogs playing in the snow.,Two kids playing with a dog.,1.2000000476837158
It depends on the dish and how amenable it is at the stage you make the mistake.,It depends on the sauce and the result you want.,2.0
But we can't do it without help.,"We can't do it without you.""",3.5999999046325684
Two French journalists killed in Mali,France confirms two French journalists killed in Mali,5.0
Two hikers stand at the top of a snowy mountain.,Two mountain climbers stand on the top of a mountain looking around.,3.400000095367432
The group of hikers is resting in front of a mountain.,Several hikers rest with their gear in front of a mountain.,4.800000190734863
A woman is writing.,A woman is swimming.,0.5
Ukraine: Nine people die in Kyiv clashes,Ukraine pressured over Kiev clashes,2.0
There is a small desk and chair in front of the laundry room.,A room with tan walls and a washer and dryer.,1.399999976158142
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,3.200000047683716
A man is praying.,A man is running.,0.7269999980926514
A kid jumping a ledge with a bike.,A black and white cat playing with a blanket.,0.0
A boy is jumping into the water with a ball in his hand.,A little boy swimming underwater with a toy in his hand.,2.200000047683716
A woman is sitting at a desk.,A woman is riding a donkey.,0.4000000059604645
Bank of England's Paul Tucker tainted by Libor mess,Bank of England deputy denies ordering rate-rigging,2.799999952316284
The seagull is floating on the water.,A little bird floating in the water.,3.5999999046325684
A man is cutting a potato.,A woman plays an electric guitar.,0.0829999968409538
North Korea reportedly test-fires short-range missiles,North Korea launches short-range missiles,4.0
Nelson Mandela hospital release reports 'incorrect',Nelson Mandela Goes Home After Hospital Stay,2.0
Russia says ballistic missiles fired in Mediterranean,Israel says it carried out joint missile test with US in Mediterranean,1.0
A white and brown dog is running over grass.,A brown and white dog is running across the grass.,4.599999904632568
Italy soldiers die in Afghanistan,Two UK Soldiers Killed In Afghanistan,1.399999976158142
"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.",1.5
A man is playing the drums.,A man plays the drum.,5.0
"Two U.S. soldiers shot, killed by Afghan soldier",Two British soldiers killed by Afghan policeman,1.600000023841858
"With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15.","With diplomacy heating up in the nearly 10-month-old crisis, Chinese Foreign Minister Li Zhaoxing flies to Japan on Sunday en route to South Korea on August 13.",3.0
Explosions kill 29 outside two mosques in Lebanon's Tripoli,2 explosions rock city in northern Lebanon,2.0
Two little girls talk on the telephone.,Two couple are talking with each other.,1.2000000476837158
Armenians vote in parliamentary elections,Armenia's parliamentary vote a test for president,3.200000047683716
'Trayvon could have been me',Trayvon Martin could have been ...,2.799999952316284
"""This is extraordinarily fast,"" said Matt Geller, an analyst at CIBC World Markets.","They are actually going to record sales for Velcade this year,"" said Matt Geller, an analyst at CIBC World Markets.",2.25
Obama to announce gun control plans Wednesday,Obama to set out gun control plans,3.5999999046325684
"Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!",5.0
A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.,0.6000000238418579
"The operating revenues were $1.45 billion, an increase over last year's result of $1.38 billion.",Operating revenues rose to $1.45 billion from $1.38 billion last year.,5.0
A man is petting a tied up dog.,A man is showing his dog to the camera.,1.0
A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,3.3329999446868896
Obama holds out over Syria strikes,UK urges countries over Syria aid,1.0
A person is cutting a capsicum into pieces.,A person is slicing a garlic into pieces.,1.600000023841858
"If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal.","You can have a look at the arXiv cultoromics website at http://arxiv.culturomics.org, which however searches in articles on the arXiv.",0.2000000029802322
chinese authorities were not immediately available for comment.,godzhayev and godzhayev's lawyers were not immediately available to comment.,1.0
"The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.",PRESIDENT Yoweri Museveni has promoted Brigadier Aronda Nyakairima to Major General and named him Army Commander.,3.200000047683716
